Day,PM 10,PM 2.5,AQI Value,Ozone,AQI Category,Primary Pollutant
01-03-2025,96.0,46.0,154.0,40.0,Unhealthy,PM 10
02-03-2025,98.0,47.0,138.0,42.0,Moderate,PM 10
03-03-2025,100.0,49.0,139.0,44.0,Moderate,PM 10
04-03-2025,97.0,45.0,135.0,43.0,Moderate,PM 10
05-03-2025,101.0,50.0,154.0,45.0,Unhealthy,PM 10
06-03-2025,103.0,51.0,146.0,47.0,Moderate,PM 10
07-03-2025,105.0,53.0,201.0,49.0,Very Unhealthy,PM 10
08-03-2025,107.0,55.0,166.0,51.0,Unhealthy,PM 10
09-03-2025,104.0,52.0,192.0,50.0,Unhealthy,PM 10
10-03-2025,102.0,50.0,188.0,48.0,Unhealthy,PM 10
11-03-2025,100.0,49.0,155.0,46.0,Unhealthy,PM 10
12-03-2025,99.0,48.0,201.0,45.0,Very Unhealthy,PM 10
13-03-2025,101.0,50.0,109.0,47.0,Moderate,PM 10
14-03-2025,103.0,51.0,83.0,49.0,Satisfactory,PM 10
15-03-2025,106.0,54.0,76.0,52.0,Satisfactory,PM 10
16-03-2025,108.0,56.0,92.0,54.0,Satisfactory,PM 10
17-03-2025,107.0,55.0,90.0,53.0,Satisfactory,PM 10
18-03-2025,105.0,53.0,105.0,51.0,Moderate,PM 10
19-03-2025,103.0,51.0,132.0,49.0,Moderate,PM 10
20-03-2025,101.0,49.0,96.0,47.0,Satisfactory,PM 10
21-03-2025,100.0,48.0,77.0,46.0,Satisfactory,PM 10
22-03-2025,102.0,50.0,137.0,48.0,Moderate,PM 10
23-03-2025,104.0,52.0,190.0,50.0,Unhealthy,PM 10
24-03-2025,106.0,54.0,204.0,52.0,Very Unhealthy,PM 10
25-03-2025,107.0,55.0,208.0,53.0,Very Unhealthy,PM 10
26-03-2025,105.0,53.0,149.0,51.0,Moderate,PM 10
27-03-2025,103.0,51.0,117.0,49.0,Moderate,PM 10
28-03-2025,102.0,50.0,111.0,48.0,Moderate,PM 10
29-03-2025,100.0,49.0,118.0,46.0,Moderate,PM 10
30-03-2025,99.0,47.0,145.0,45.0,Moderate,PM 10
31-03-2025,98.0,46.0,126.0,44.0,Moderate,PM 10
01/04/2025,75.0,34.0,163.0,51.0,Unhealthy,PM 10
02/04/2025,73.0,33.0,174.0,50.0,Unhealthy,PM 10
03/04/2025,72.0,32.0,187.0,49.0,Unhealthy,PM 10
