Day,PM 10,PM 2.5,AQI Value,Ozone,AQI Category,Primary Pollutant
01-03-2025,125,96,115,43,Moderate,PM 10
02-03-2025,116,74,118,40,Moderate,PM 10
03-03-2025,112,73,114,48,Moderate,PM 10
04-03-2025,130,65,126,45,Moderate,PM 10
05-03-2025,114,39,119,53,Moderate,PM 10
06-03-2025,73,35,89,55,Satisfactory,PM 10
07-03-2025,111,83,113,53,Moderate,PM 10
08-03-2025,90,51,94,51,Satisfactory,PM 10
09-03-2025,93,54,95,45,Satisfactory,PM 10
10-03-2025,125,96,114,57,Moderate,PM 10
11-03-2025,120,80,127,67,Moderate,PM 10
12-03-2025,125,96,139,43,Moderate,PM 10
13-03-2025,125,96,108,43,Moderate,PM 10
14-03-2025,53,32,93,50,Satisfactory,PM 10
15-03-2025,125,96,107,43,Moderate,PM 10
16-03-2025,125,96,98,43,Satisfactory,PM 10
17-03-2025,125,96,112,43,Moderate,PM 10
18-03-2025,86,52,114,43,Moderate,PM 10
19-03-2025,126,88,141,68,Moderate,PM 10
20-03-2025,126,88,188,50,Unhealthy,PM 10
21-03-2025,112,82,120,50,Moderate,PM 10
22-03-2025,124,91,122,62,Moderate,PM 10
23-03-2025,120,75,105,60,Moderate,PM 10
24-03-2025,156,102,88,56,Satisfactory,PM 10
25-03-2025,102,90,134,59,Moderate,PM 10
26-03-2025,96,66,142,46,Moderate,PM 10
27-03-2025,132,89,155,66,Unhealthy,PM 10
28-03-2025,125,91,135,68,Moderate,PM 10
29-03-2025,78,56,125,52,Moderate,PM 10
30-03-2025,142,94,148,72,Moderate,PM 10
31-03-2025,111,79,136,48,Moderate,PM 10
01/04/2025,75,34,163,51,Unhealthy,PM 10
02/04/2025,73,33,174,50,Unhealthy,PM 10
03/04/2025,72,32,187,49,Unhealthy,PM 10
