Day,PM 10,PM 2.5,AQI Value,Ozone,AQI Category,Primary Pollutant
01-03-2025,48.0,34.0,65,51,Satisfactory,Ozone
02-03-2025,43.0,38.0,46,21,Good,PM 10
03-03-2025,51.0,45.0,58,25,Satisfactory,PM 10
04-03-2025,65.0,32.0,50,27,Good,PM 10
05-03-2025,62.0,26.0,54,25,Satisfactory,PM 10
06-03-2025,81.0,47.0,64,25,Satisfactory,PM 10
07-03-2025,134.0,70.0,134,27,Moderate,PM 10
08-03-2025,96.0,53.0,101,25,Moderate,PM 10
09-03-2025,85.0,38.0,84,22,Satisfactory,PM 10
10-03-2025,64.0,40.0,56,22,Satisfactory,PM 10
11-03-2025,53.0,33.0,62,23,Satisfactory,PM 10
12-03-2025,49.0,24.0,77,22,Satisfactory,PM 10
13-03-2025,45.0,22.0,77,23,Satisfactory,PM 10
14-03-2025,45.0,34.0,55,25,Satisfactory,PM 10
15-03-2025,55.0,56.0,41,26,Good,PM 2.5
16-03-2025,48.0,32.0,51,24,Satisfactory,PM 10
17-03-2025,56.0,48.0,55,22,Satisfactory,PM 10
18-03-2025,98.0,64.0,49,28,Good,PM 10
19-03-2025,65.0,35.0,41,27,Good,PM 10
20-03-2025,52.0,30.0,46,24,Good,PM 10
21-03-2025,76.0,36.0,46,23,Good,PM 10
22-03-2025,49.0,28.0,52,25,Satisfactory,PM 10
23-03-2025,74.0,40.0,52,27,Satisfactory,PM 10
24-03-2025,65.0,36.0,64,21,Satisfactory,PM 10
25-03-2025,80.0,56.0,66,29,Satisfactory,PM 10
26-03-2025,58.0,32.0,70,22,Satisfactory,PM 10
27-03-2025,63.0,42.0,77,22,Satisfactory,PM 10
28-03-2025,59.0,38.0,93,25,Satisfactory,PM 10
29-03-2025,74.0,31.0,66,22,Satisfactory,PM 10
30-03-2025,70.0,42.0,67,28,Satisfactory,PM 10
31-03-2025,56.0,29.0,66,23,Satisfactory,PM 10
01/04/2025,75.0,34.0,163,51,Unhealthy,PM 10
02/04/2025,73.0,33.0,174,50,Unhealthy,PM 10
03/04/2025,72.0,32.0,187,49,Unhealthy,PM 10
