Day,PM 10,PM 2.5,AQI Value,Ozone,AQI Category,Primary Pollutant
01-03-2025,84.0,66.0,76.0,17.0,Satisfactory,PM 10
02-03-2025,86.0,72.0,100.0,21.0,Satisfactory,PM 10
03-03-2025,95.0,82.0,85.0,30.0,Satisfactory,PM 10
04-03-2025,85.0,61.0,94.0,24.0,Satisfactory,PM 10
05-03-2025,89.0,80.0,107.0,32.0,Moderate,PM 10
06-03-2025,91.0,75.0,90.0,17.0,Satisfactory,PM 10
07-03-2025,100.0,88.0,98.0,25.0,Satisfactory,PM 10
08-03-2025,95.0,62.0,124.0,28.0,Moderate,PM 10
09-03-2025,92.0,65.0,114.0,22.0,Moderate,PM 10
10-03-2025,112.0,107.0,104.0,26.0,Moderate,PM 10
11-03-2025,88.0,56.0,192.0,25.0,Unhealthy,PM 10
12-03-2025,93.0,65.0,112.0,31.0,Moderate,PM 10
13-03-2025,89.0,71.0,96.0,24.0,Satisfactory,PM 10
14-03-2025,91.0,60.0,70.0,9.0,Satisfactory,PM 10
15-03-2025,94.0,58.0,57.0,15.0,Satisfactory,PM 10
16-03-2025,96.0,68.0,66.0,40.0,Satisfactory,PM 10
17-03-2025,95.0,71.0,57.0,8.0,Satisfactory,PM 10
18-03-2025,93.0,52.0,72.0,18.0,Satisfactory,PM 10
19-03-2025,122.0,221.0,141.0,27.0,Moderate,PM 2.5
20-03-2025,89.0,65.0,100.0,21.0,Satisfactory,PM 10
21-03-2025,88.0,125.0,95.0,27.0,Satisfactory,PM 2.5
22-03-2025,90.0,96.0,112.0,25.0,Moderate,PM 2.5
23-03-2025,101.0,152.0,114.0,16.0,Moderate,PM 2.5
24-03-2025,94.0,82.0,125.0,18.0,Moderate,PM 10
25-03-2025,95.0,89.0,111.0,24.0,Moderate,PM 10
26-03-2025,104.0,166.0,126.0,30.0,Moderate,PM 2.5
27-03-2025,100.0,109.0,100.0,31.0,Satisfactory,PM 2.5
28-03-2025,90.0,82.0,95.0,25.0,Satisfactory,PM 10
29-03-2025,89.0,81.0,89.0,17.0,Satisfactory,PM 10
30-03-2025,87.0,77.0,87.0,9.0,Satisfactory,PM 10
31-03-2025,103.0,82.0,76.0,21.0,Satisfactory,PM 10
01/04/2025,75.0,34.0,163.0,51.0,Unhealthy,PM 10
02/04/2025,73.0,33.0,174.0,50.0,Unhealthy,PM 10
03/04/2025,72.0,32.0,187.0,49.0,Unhealthy,PM 10
