Day,PM 10,PM 2.5,AQI Value,Ozone,AQI Category,Primary Pollutant
01-03-2025,153,149,98,61,Satisfactory,PM 10
02-03-2025,120,60,77,74,Satisfactory,PM 10
03-03-2025,135,72,94,58,Satisfactory,PM 10
04-03-2025,143,88,105,65,Moderate,PM 10
05-03-2025,155,82,93,57,Satisfactory,PM 10
06-03-2025,149,145,100,78,Satisfactory,PM 10
07-03-2025,125,75,106,76,Moderate,PM 10
08-03-2025,155,115,89,58,Satisfactory,PM 10
09-03-2025,127,96,65,59,Satisfactory,PM 10
10-03-2025,110,67,76,81,Satisfactory,PM 10
11-03-2025,145,102,104,93,Moderate,PM 10
12-03-2025,180,158,112,66,Moderate,PM 10
13-03-2025,117,68,82,82,Satisfactory,PM 10
14-03-2025,107,92,68,59,Satisfactory,PM 10
15-03-2025,102,67,60,58,Satisfactory,PM 10
16-03-2025,100,51,62,62,Satisfactory,PM 10
17-03-2025,100,55,63,60,Satisfactory,PM 10
18-03-2025,130,58,71,66,Satisfactory,PM 10
19-03-2025,104,68,63,84,Satisfactory,PM 10
20-03-2025,137,56,74,52,Satisfactory,PM 10
21-03-2025,104,76,73,74,Satisfactory,PM 10
22-03-2025,106,62,67,71,Satisfactory,PM 10
23-03-2025,119,45,98,88,Satisfactory,PM 10
24-03-2025,121,75,72,59,Satisfactory,PM 10
25-03-2025,115,54,77,81,Satisfactory,PM 10
26-03-2025,124,68,107,62,Moderate,PM 10
27-03-2025,136,65,94,58,Satisfactory,PM 10
28-03-2025,147,85,83,65,Satisfactory,PM 10
29-03-2025,102,61,70,74,Satisfactory,PM 10
30-03-2025,152,125,77,66,Satisfactory,PM 10
31-03-2025,152,125,95,66,Satisfactory,PM 10
01/04/2025,75,34,163,51,Unhealthy,PM 10
02/04/2025,73,33,174,50,Unhealthy,PM 10
03/04/2025,72,32,187,49,Unhealthy,PM 10
