Date,PM 10,PM 2.5,AQI Value,Ozone,AQI Category,Primary Pollutant,Day
01-03-2025,118.0,52.0,153.0,28.0,Unhealthy,PM 10,
02-03-2025,115.0,50.0,115.0,30.0,Moderate,PM 10,
03-03-2025,121.0,54.0,101.0,32.0,Moderate,PM 10,
04-03-2025,126.0,57.0,149.0,34.0,Moderate,PM 10,
05-03-2025,124.0,55.0,120.0,33.0,Moderate,PM 10,
06-03-2025,129.0,59.0,111.0,35.0,Moderate,PM 10,
07-03-2025,133.0,61.0,171.0,37.0,Unhealthy,PM 10,
08-03-2025,136.0,63.0,141.0,39.0,Moderate,PM 10,
09-03-2025,132.0,60.0,98.0,38.0,Satisfactory,PM 10,
10-03-2025,127.0,56.0,94.0,36.0,Satisfactory,PM 10,
11-03-2025,130.0,58.0,106.0,34.0,Moderate,PM 10,
12-03-2025,134.0,62.0,132.0,35.0,Moderate,PM 10,
13-03-2025,139.0,65.0,134.0,37.0,Moderate,PM 10,
14-03-2025,142.0,68.0,95.0,40.0,Satisfactory,PM 10,
15-03-2025,138.0,66.0,94.0,42.0,Satisfactory,PM 10,
16-03-2025,135.0,63.0,84.0,41.0,Satisfactory,PM 10,
17-03-2025,131.0,59.0,80.0,39.0,Satisfactory,PM 10,
18-03-2025,128.0,57.0,105.0,37.0,Moderate,PM 10,
19-03-2025,125.0,55.0,90.0,36.0,Satisfactory,PM 10,
20-03-2025,129.0,58.0,114.0,35.0,Moderate,PM 10,
21-03-2025,133.0,61.0,106.0,37.0,Moderate,PM 10,
22-03-2025,137.0,64.0,111.0,39.0,Moderate,PM 10,
23-03-2025,140.0,67.0,106.0,41.0,Moderate,PM 10,
24-03-2025,144.0,70.0,114.0,43.0,Moderate,PM 10,
25-03-2025,141.0,68.0,130.0,42.0,Moderate,PM 10,
26-03-2025,136.0,64.0,145.0,40.0,Moderate,PM 10,
27-03-2025,132.0,60.0,126.0,38.0,Moderate,PM 10,
28-03-2025,128.0,58.0,127.0,36.0,Moderate,PM 10,
29-03-2025,126.0,56.0,128.0,35.0,Moderate,PM 10,
30-03-2025,123.0,54.0,113.0,34.0,Moderate,PM 10,
31-03-2025,125.0,55.0,106.0,33.0,Moderate,PM 10,
01-04-2025,75.0,34.0,163.0,51.0,Unhealthy,PM 10,
02-04-2025,73.0,33.0,174.0,50.0,Unhealthy,PM 10,
03-04-2025,72.0,32.0,187.0,49.0,Unhealthy,PM 10,
