Day,PM 10,PM 2.5,AQI Value,Ozone,AQI Category,Primary Pollutant
01-03-2025,121.0,147.0,123.0,17.0,Moderate,PM 2.5
02-03-2025,91.0,100.0,79.0,14.0,Satisfactory,PM 2.5
03-03-2025,83.0,35.0,73.0,16.0,Satisfactory,PM 10
04-03-2025,94.0,58.0,91.0,15.0,Satisfactory,PM 10
05-03-2025,100.0,27.0,89.0,15.0,Satisfactory,PM 10
06-03-2025,112.0,37.0,85.0,16.0,Satisfactory,PM 10
07-03-2025,99.0,52.0,124.0,17.0,Moderate,PM 10
08-03-2025,102.0,63.0,95.0,15.0,Satisfactory,PM 10
09-03-2025,135.0,136.0,166.0,12.0,Unhealthy,PM 2.5
10-03-2025,118.0,55.0,115.0,16.0,Moderate,PM 10
11-03-2025,147.0,164.0,166.0,20.0,Unhealthy,PM 2.5
12-03-2025,125.0,102.0,129.0,14.0,Moderate,PM 10
13-03-2025,107.0,74.0,104.0,15.0,Moderate,PM 10
14-03-2025,90.0,77.0,134.0,20.0,Moderate,PM 10
15-03-2025,87.0,60.0,78.0,14.0,Satisfactory,PM 10
16-03-2025,88.0,56.0,94.0,15.0,Satisfactory,PM 10
17-03-2025,74.0,40.0,68.0,14.0,Satisfactory,PM 10
18-03-2025,85.0,30.0,72.0,17.0,Satisfactory,PM 10
19-03-2025,79.0,42.0,77.0,17.0,Satisfactory,PM 10
20-03-2025,102.0,45.0,109.0,15.0,Moderate,PM 10
21-03-2025,91.0,58.0,83.0,15.0,Satisfactory,PM 10
22-03-2025,108.0,80.0,82.0,18.0,Satisfactory,PM 10
23-03-2025,77.0,80.0,69.0,15.0,Satisfactory,PM 2.5
24-03-2025,88.0,56.0,143.0,16.0,Moderate,PM 10
25-03-2025,107.0,155.0,139.0,21.0,Moderate,PM 2.5
26-03-2025,100.0,78.0,138.0,19.0,Moderate,PM 10
27-03-2025,95.0,63.0,139.0,20.0,Moderate,PM 10
28-03-2025,80.0,48.0,102.0,14.0,Moderate,PM 10
29-03-2025,89.0,39.0,90.0,16.0,Satisfactory,PM 10
30-03-2025,99.0,51.0,79.0,14.0,Satisfactory,PM 10
31-03-2025,77.0,47.0,81.0,14.0,Satisfactory,PM 10
01/04/2025,75.0,34.0,163.0,51.0,Unhealthy,PM 10
02/04/2025,73.0,33.0,174.0,50.0,Unhealthy,PM 10
03/04/2025,72.0,32.0,187.0,49.0,Unhealthy,PM 10
