Day,PM 10,PM 2.5,AQI Value,Ozone,AQI Category,Primary Pollutant
01-03-2025,70.0,60.0,106.0,46.0,Moderate,PM 10
02-03-2025,63.0,54.0,87.0,79.0,Satisfactory,Ozone
03-03-2025,56.0,47.0,99.0,44.0,Satisfactory,PM 10
04-03-2025,47.0,40.0,96.0,41.0,Satisfactory,PM 10
05-03-2025,44.0,37.0,112.0,52.0,Moderate,Ozone
06-03-2025,35.0,30.0,116.0,33.0,Moderate,PM 10
07-03-2025,71.0,74.0,120.0,71.0,Moderate,PM 2.5
08-03-2025,135.0,177.0,126.0,148.0,Moderate,PM 2.5
09-03-2025,112.0,118.0,90.0,59.0,Satisfactory,PM 2.5
10-03-2025,122.0,143.0,99.0,62.0,Satisfactory,PM 2.5
11-03-2025,107.0,107.0,93.0,70.0,Satisfactory,PM 10
12-03-2025,110.0,119.0,91.0,85.0,Satisfactory,PM 2.5
13-03-2025,99.0,108.0,84.0,76.0,Satisfactory,PM 2.5
14-03-2025,98.0,97.0,81.0,50.0,Satisfactory,PM 10
15-03-2025,117.0,110.0,73.0,65.0,Satisfactory,PM 10
16-03-2025,122.0,123.0,65.0,36.0,Satisfactory,PM 2.5
17-03-2025,98.0,100.0,71.0,65.0,Satisfactory,PM 2.5
18-03-2025,76.0,68.0,76.0,56.0,Satisfactory,PM 10
19-03-2025,89.0,81.0,118.0,62.0,Moderate,PM 10
20-03-2025,56.0,65.0,67.0,45.0,Satisfactory,PM 2.5
21-03-2025,112.0,124.0,92.0,87.0,Satisfactory,PM 2.5
22-03-2025,109.0,95.0,51.0,48.0,Satisfactory,PM 10
23-03-2025,89.0,102.0,75.0,56.0,Satisfactory,PM 2.5
24-03-2025,123.0,113.0,114.0,89.0,Moderate,PM 10
25-03-2025,87.0,89.0,135.0,73.0,Moderate,PM 2.5
26-03-2025,67.0,72.0,91.0,56.0,Satisfactory,PM 2.5
27-03-2025,112.0,96.0,76.0,45.0,Satisfactory,PM 10
28-03-2025,96.0,105.0,103.0,78.0,Moderate,PM 2.5
29-03-2025,90.0,80.0,128.0,56.0,Moderate,PM 10
30-03-2025,111.0,98.0,109.0,91.0,Moderate,PM 10
31-03-2025,76.0,79.0,78.0,47.0,Satisfactory,PM 2.5
01/04/2025,75.0,34.0,163.0,51.0,Unhealthy,PM 10
02/04/2025,73.0,33.0,174.0,50.0,Unhealthy,PM 10
03/04/2025,72.0,32.0,187.0,49.0,Unhealthy,PM 10
