Day,PM 10,PM 2.5,AQI Value,Ozone,AQI Category,Primary Pollutant
01-03-2025,102,58,170,34,Unhealthy,PM 10
02-03-2025,104,59,96,36,Satisfactory,PM 10
03-03-2025,106,61,87,38,Satisfactory,PM 10
04-03-2025,103,57,113,37,Moderate,PM 10
05-03-2025,107,62,122,39,Moderate,PM 10
06-03-2025,109,63,124,41,Moderate,PM 10
07-03-2025,111,65,150,43,Moderate,PM 10
08-03-2025,113,67,118,45,Moderate,PM 10
09-03-2025,110,64,170,44,Unhealthy,PM 10
10-03-2025,108,62,159,42,Unhealthy,PM 10
11-03-2025,106,60,202,40,Very Unhealthy,PM 10
12-03-2025,105,59,151,39,Unhealthy,PM 10
13-03-2025,107,61,115,41,Moderate,PM 10
14-03-2025,109,63,123,43,Moderate,PM 10
15-03-2025,112,66,100,46,Satisfactory,PM 10
16-03-2025,114,68,117,48,Moderate,PM 10
17-03-2025,113,67,74,47,Satisfactory,PM 10
18-03-2025,111,65,83,45,Satisfactory,PM 10
19-03-2025,109,63,82,43,Satisfactory,PM 10
20-03-2025,107,61,116,41,Moderate,PM 10
21-03-2025,106,60,95,40,Satisfactory,PM 10
22-03-2025,108,62,101,42,Moderate,PM 10
23-03-2025,110,64,134,44,Moderate,PM 10
24-03-2025,112,66,149,46,Moderate,PM 10
25-03-2025,113,67,188,47,Unhealthy,PM 10
26-03-2025,111,65,202,45,Very Unhealthy,PM 10
27-03-2025,109,63,163,43,Unhealthy,PM 10
28-03-2025,108,62,153,42,Unhealthy,PM 10
29-03-2025,106,60,134,40,Moderate,PM 10
30-03-2025,105,59,120,39,Moderate,PM 10
31-03-2025,104,58,106,38,Moderate,PM 10
01/04/2025,75,34,163,51,Unhealthy,PM 10
02/04/2025,73,33,174,50,Unhealthy,PM 10
03/04/2025,72,32,187,49,Unhealthy,PM 10
