Day,PM 10,PM 2.5,AQI Value,Ozone,AQI Category,Primary Pollutant
01-03-2025,149,164,109,40,Moderate,PM 2.5
02-03-2025,138,129,109,76,Moderate,PM 10
03-03-2025,144,130,111,74,Moderate,PM 10
04-03-2025,132,112,120,72,Moderate,PM 10
05-03-2025,157,125,117,51,Moderate,PM 10
06-03-2025,98,128,121,42,Moderate,PM 2.5
07-03-2025,136,132,130,54,Moderate,PM 10
08-03-2025,124,140,126,31,Moderate,PM 2.5
09-03-2025,149,158,98,40,Satisfactory,PM 2.5
10-03-2025,121,160,117,44,Moderate,PM 2.5
11-03-2025,153,199,159,44,Unhealthy,PM 2.5
12-03-2025,122,145,147,38,Moderate,PM 2.5
13-03-2025,138,192,121,50,Moderate,PM 2.5
14-03-2025,96,89,120,30,Moderate,PM 10
15-03-2025,82,80,71,40,Satisfactory,PM 10
16-03-2025,111,102,83,58,Satisfactory,PM 10
17-03-2025,104,108,101,54,Moderate,PM 2.5
18-03-2025,100,89,87,60,Satisfactory,PM 10
19-03-2025,91,68,84,62,Satisfactory,PM 10
20-03-2025,98,100,88,46,Satisfactory,PM 2.5
21-03-2025,108,102,86,46,Satisfactory,PM 10
22-03-2025,90,57,74,50,Satisfactory,PM 10
23-03-2025,70,66,82,57,Satisfactory,PM 10
24-03-2025,112,115,92,53,Satisfactory,PM 2.5
25-03-2025,129,125,96,72,Satisfactory,PM 10
26-03-2025,88,48,74,57,Satisfactory,PM 10
27-03-2025,63,54,59,75,Satisfactory,Ozone
28-03-2025,123,108,73,53,Satisfactory,PM 10
29-03-2025,120,112,131,50,Moderate,PM 10
30-03-2025,98,85,129,68,Moderate,PM 10
31-03-2025,112,149,109,52,Moderate,PM 2.5
01/04/2025,75,34,163,51,Unhealthy,PM 10
02/04/2025,73,33,174,50,Unhealthy,PM 10
03/04/2025,72,32,187,49,Unhealthy,PM 10
