Day,PM 10,PM 2.5,AQI Value,Ozone,AQI Category,Primary Pollutant
01-03-2025,112,42,159,44,Unhealthy,PM 10
02-03-2025,84,37,144,46,Moderate,PM 10
03-03-2025,86,39,112,48,Moderate,PM 10
04-03-2025,83,35,110,47,Moderate,PM 10
05-03-2025,87,40,104,49,Moderate,PM 10
06-03-2025,98,52,84,51,Satisfactory,PM 10
07-03-2025,91,43,103,53,Moderate,PM 10
08-03-2025,93,45,92,55,Satisfactory,PM 10
09-03-2025,90,42,106,54,Moderate,PM 10
10-03-2025,88,40,105,52,Moderate,PM 10
11-03-2025,86,39,152,50,Unhealthy,PM 10
12-03-2025,85,38,160,49,Unhealthy,PM 10
13-03-2025,87,40,150,51,Moderate,PM 10
14-03-2025,119,68,178,53,Unhealthy,PM 10
15-03-2025,92,44,111,56,Moderate,PM 10
16-03-2025,94,46,116,58,Moderate,PM 10
17-03-2025,93,45,114,57,Moderate,PM 10
18-03-2025,91,43,97,55,Satisfactory,PM 10
19-03-2025,89,41,113,53,Moderate,PM 10
20-03-2025,87,39,85,51,Satisfactory,PM 10
21-03-2025,86,38,87,50,Satisfactory,PM 10
22-03-2025,88,40,115,52,Moderate,PM 10
23-03-2025,100,54,134,54,Moderate,PM 10
24-03-2025,92,44,98,56,Satisfactory,PM 10
25-03-2025,93,45,141,57,Moderate,PM 10
26-03-2025,91,43,172,55,Unhealthy,PM 10
27-03-2025,102,54,158,53,Unhealthy,PM 10
28-03-2025,109,56,124,52,Moderate,PM 10
29-03-2025,86,39,118,50,Moderate,PM 10
30-03-2025,85,37,140,49,Moderate,PM 10
31-03-2025,84,36,158,48,Unhealthy,PM 10
01/04/2025,75,34,163,51,Unhealthy,PM 10
02/04/2025,73,33,174,50,Unhealthy,PM 10
03/04/2025,72,32,187,49,Unhealthy,PM 10
