Day,PM 10,PM 2.5,AQI Value,Ozone,AQI Category,Primary Pollutant
01-03-2025,112,132,126,9,Moderate,PM 2.5
02-03-2025,154,161,125,18,Moderate,PM 2.5
03-03-2025,196,130,156,33,Unhealthy,PM 10
04-03-2025,173,132,148,19,Moderate,PM 10
05-03-2025,164,61,119,26,Moderate,PM 10
06-03-2025,146,90,124,26,Moderate,PM 10
07-03-2025,240,220,202,26,Very Unhealthy,PM 10
08-03-2025,193,171,158,25,Unhealthy,PM 10
09-03-2025,278,249,209,33,Very Unhealthy,PM 10
10-03-2025,182,208,197,24,Unhealthy,PM 2.5
11-03-2025,319,282,262,43,Severe,PM 10
12-03-2025,246,216,228,36,Very Unhealthy,PM 10
13-03-2025,187,82,179,22,Unhealthy,PM 10
14-03-2025,266,216,198,36,Unhealthy,PM 10
15-03-2025,282,249,85,23,Satisfactory,PM 10
16-03-2025,198,92,99,19,Satisfactory,PM 10
17-03-2025,254,201,108,21,Moderate,PM 10
18-03-2025,165,65,145,25,Moderate,PM 10
19-03-2025,264,215,160,27,Unhealthy,PM 10
20-03-2025,302,280,156,31,Unhealthy,PM 10
21-03-2025,256,220,144,21,Moderate,PM 10
22-03-2025,216,168,161,22,Unhealthy,PM 10
23-03-2025,186,123,194,16,Unhealthy,PM 10
24-03-2025,254,98,206,24,Very Unhealthy,PM 10
25-03-2025,240,132,234,22,Very Unhealthy,PM 10
26-03-2025,233,268,231,20,Very Unhealthy,PM 2.5
27-03-2025,301,263,259,29,Severe,PM 10
28-03-2025,196,196,205,20,Very Unhealthy,PM 10
29-03-2025,166,127,153,21,Unhealthy,PM 10
30-03-2025,238,143,138,25,Moderate,PM 10
31-03-2025,184,171,160,19,Unhealthy,PM 10
01/04/2025,75,34,163,51,Unhealthy,PM 10
02/04/2025,73,33,174,50,Unhealthy,PM 10
03/04/2025,72,32,187,49,Unhealthy,PM 10
