Day,PM 10,PM 2.5,AQI Value,Ozone,AQI Category,Primary Pollutant
01-03-2025,162,74,197,32,Unhealthy,PM 10
02-03-2025,158,72,145,34,Moderate,PM 10
03-03-2025,165,76,136,36,Moderate,PM 10
04-03-2025,171,79,128,38,Moderate,PM 10
05-03-2025,168,77,145,35,Moderate,PM 10
06-03-2025,174,81,128,37,Moderate,PM 10
07-03-2025,179,84,180,39,Unhealthy,PM 10
08-03-2025,182,86,215,41,Very Unhealthy,PM 10
09-03-2025,176,83,219,40,Very Unhealthy,PM 10
10-03-2025,169,78,209,38,Very Unhealthy,PM 10
11-03-2025,173,80,257,36,Severe,PM 10
12-03-2025,181,85,187,37,Unhealthy,PM 10
13-03-2025,187,89,218,39,Very Unhealthy,PM 10
14-03-2025,193,92,235,42,Very Unhealthy,PM 10
15-03-2025,188,90,135,44,Moderate,PM 10
16-03-2025,184,87,137,43,Moderate,PM 10
17-03-2025,177,82,131,41,Moderate,PM 10
18-03-2025,171,79,126,39,Moderate,PM 10
19-03-2025,168,77,116,38,Moderate,PM 10
20-03-2025,174,80,184,37,Unhealthy,PM 10
21-03-2025,179,83,114,39,Moderate,PM 10
22-03-2025,183,86,106,41,Moderate,PM 10
23-03-2025,189,88,134,43,Moderate,PM 10
24-03-2025,194,91,164,45,Unhealthy,PM 10
25-03-2025,191,89,211,44,Very Unhealthy,PM 10
26-03-2025,186,85,219,42,Very Unhealthy,PM 10
27-03-2025,178,81,229,40,Very Unhealthy,PM 10
28-03-2025,173,78,194,38,Unhealthy,PM 10
29-03-2025,169,76,162,37,Unhealthy,PM 10
30-03-2025,166,75,129,36,Moderate,PM 10
31-03-2025,170,77,179,35,Unhealthy,PM 10
01/04/2025,75,34,163,51,Unhealthy,PM 10
02/04/2025,73,33,174,50,Unhealthy,PM 10
03/04/2025,72,32,187,49,Unhealthy,PM 10
