Day,PM 10,PM 2.5,AQI Value,Ozone,AQI Category,Primary Pollutant
01-03-2025,72.0,34.0,161.0,46.0,Unhealthy,PM 10
02-03-2025,70.0,33.0,138.0,48.0,Moderate,PM 10
03-03-2025,74.0,35.0,135.0,50.0,Moderate,PM 10
04-03-2025,76.0,37.0,133.0,52.0,Moderate,PM 10
05-03-2025,75.0,36.0,150.0,51.0,Moderate,PM 10
06-03-2025,78.0,38.0,142.0,53.0,Moderate,PM 10
07-03-2025,80.0,40.0,153.0,55.0,Unhealthy,PM 10
08-03-2025,82.0,41.0,181.0,57.0,Unhealthy,PM 10
09-03-2025,79.0,39.0,148.0,56.0,Moderate,PM 10
10-03-2025,77.0,37.0,146.0,54.0,Moderate,PM 10
11-03-2025,78.0,38.0,155.0,52.0,Unhealthy,PM 10
12-03-2025,81.0,40.0,164.0,53.0,Unhealthy,PM 10
13-03-2025,84.0,42.0,165.0,55.0,Unhealthy,PM 10
14-03-2025,86.0,44.0,138.0,58.0,Moderate,PM 10
15-03-2025,85.0,43.0,135.0,60.0,Moderate,PM 10
16-03-2025,83.0,41.0,128.0,59.0,Moderate,PM 10
17-03-2025,80.0,39.0,118.0,57.0,Moderate,PM 10
18-03-2025,78.0,37.0,115.0,55.0,Moderate,PM 10
19-03-2025,77.0,36.0,121.0,54.0,Moderate,PM 10
20-03-2025,79.0,38.0,104.0,53.0,Moderate,PM 10
21-03-2025,81.0,40.0,103.0,55.0,Moderate,PM 10
22-03-2025,83.0,41.0,145.0,57.0,Moderate,PM 10
23-03-2025,85.0,43.0,135.0,59.0,Moderate,PM 10
24-03-2025,88.0,45.0,107.0,61.0,Moderate,PM 10
25-03-2025,86.0,44.0,123.0,60.0,Moderate,PM 10
26-03-2025,83.0,41.0,176.0,58.0,Unhealthy,PM 10
27-03-2025,80.0,39.0,109.0,56.0,Moderate,PM 10
28-03-2025,78.0,37.0,151.0,54.0,Unhealthy,PM 10
29-03-2025,76.0,36.0,126.0,53.0,Moderate,PM 10
30-03-2025,75.0,35.0,118.0,52.0,Moderate,PM 10
31-03-2025,77.0,36.0,167.0,51.0,Unhealthy,PM 10
01/04/2025,75.0,34.0,163.0,51.0,Unhealthy,PM 10
02/04/2025,73.0,33.0,174.0,50.0,Unhealthy,PM 10
03/04/2025,72.0,32.0,187.0,49.0,Unhealthy,PM 10
