Day,PM 10,PM 2.5,AQI Value,Ozone,AQI Category,Primary Pollutant
01-03-2025,78,36,37,34,Good,PM 10
02-03-2025,80,37,45,36,Good,PM 10
03-03-2025,82,39,41,38,Good,PM 10
04-03-2025,79,35,43,37,Good,PM 10
05-03-2025,83,40,41,39,Good,PM 10
06-03-2025,85,41,43,41,Good,PM 10
07-03-2025,87,43,52,43,Satisfactory,PM 10
08-03-2025,89,45,48,45,Good,PM 10
09-03-2025,86,42,47,44,Good,PM 10
10-03-2025,84,40,50,42,Good,PM 10
11-03-2025,82,39,47,40,Good,PM 10
12-03-2025,81,38,39,39,Good,PM 10
13-03-2025,83,40,42,41,Good,PM 10
14-03-2025,85,41,37,43,Good,PM 10
15-03-2025,88,44,38,46,Good,PM 10
16-03-2025,90,46,36,48,Good,PM 10
17-03-2025,89,45,40,47,Good,PM 10
18-03-2025,87,43,43,45,Good,PM 10
19-03-2025,85,41,47,43,Good,PM 10
20-03-2025,83,39,48,41,Good,PM 10
21-03-2025,82,38,73,40,Satisfactory,PM 10
22-03-2025,84,40,48,42,Good,PM 10
23-03-2025,86,42,45,44,Good,PM 10
24-03-2025,88,44,47,46,Good,PM 10
25-03-2025,89,45,45,47,Good,PM 10
26-03-2025,87,43,50,45,Good,PM 10
27-03-2025,85,41,49,43,Good,PM 10
28-03-2025,84,40,35,42,Good,PM 10
29-03-2025,82,39,49,40,Good,PM 10
30-03-2025,81,37,52,39,Satisfactory,PM 10
31-03-2025,80,36,48,38,Good,PM 10
01/04/2025,75,34,163,51,Unhealthy,PM 10
02/04/2025,73,33,174,50,Unhealthy,PM 10
03/04/2025,72,32,187,49,Unhealthy,PM 10
