Day,PM 10,PM 2.5,AQI Value,Ozone,AQI Category,Primary Pollutant
01-03-2025,88.0,42.0,92.0,38.0,Satisfactory,PM 10
02-03-2025,90.0,43.0,82.0,40.0,Satisfactory,PM 10
03-03-2025,92.0,45.0,55.0,42.0,Satisfactory,PM 10
04-03-2025,89.0,41.0,76.0,41.0,Satisfactory,PM 10
05-03-2025,93.0,46.0,85.0,43.0,Satisfactory,PM 10
06-03-2025,95.0,47.0,125.0,45.0,Moderate,PM 10
07-03-2025,97.0,49.0,311.0,47.0,Hazardous,PM 10
08-03-2025,99.0,51.0,180.0,49.0,Unhealthy,PM 10
09-03-2025,96.0,48.0,293.0,48.0,Severe,PM 10
10-03-2025,94.0,46.0,161.0,46.0,Unhealthy,PM 10
11-03-2025,294.0,45.0,326.0,44.0,Hazardous,PM 10
12-03-2025,91.0,44.0,104.0,43.0,Moderate,PM 10
13-03-2025,93.0,46.0,62.0,45.0,Satisfactory,PM 10
14-03-2025,95.0,47.0,57.0,47.0,Satisfactory,PM 10
15-03-2025,98.0,49.0,45.0,50.0,Good,PM 10
16-03-2025,100.0,52.0,46.0,52.0,Good,PM 10
17-03-2025,99.0,51.0,46.0,51.0,Good,PM 10
18-03-2025,97.0,49.0,62.0,49.0,Satisfactory,PM 10
19-03-2025,95.0,47.0,55.0,47.0,Satisfactory,PM 10
20-03-2025,93.0,45.0,45.0,45.0,Good,PM 10
21-03-2025,92.0,44.0,48.0,44.0,Good,PM 10
22-03-2025,94.0,46.0,47.0,46.0,Good,PM 10
23-03-2025,96.0,48.0,76.0,48.0,Satisfactory,PM 10
24-03-2025,98.0,50.0,80.0,50.0,Satisfactory,PM 10
25-03-2025,99.0,51.0,91.0,51.0,Satisfactory,PM 10
26-03-2025,97.0,49.0,55.0,49.0,Satisfactory,PM 10
27-03-2025,95.0,47.0,43.0,47.0,Good,PM 10
28-03-2025,94.0,46.0,44.0,46.0,Good,PM 10
29-03-2025,92.0,45.0,60.0,44.0,Satisfactory,PM 10
30-03-2025,91.0,43.0,70.0,43.0,Satisfactory,PM 10
31-03-2025,90.0,42.0,64.0,42.0,Satisfactory,PM 10
01/04/2025,75.0,34.0,163.0,51.0,Unhealthy,PM 10
02/04/2025,73.0,33.0,174.0,50.0,Unhealthy,PM 10
03/04/2025,72.0,32.0,187.0,49.0,Unhealthy,PM 10
