Day,PM 10,PM 2.5,AQI Value,Ozone,AQI Category,Primary Pollutant
01-03-2025,66,30,97,48,Satisfactory,PM 10
02-03-2025,68,31,97,50,Satisfactory,PM 10
03-03-2025,70,33,114,52,Moderate,PM 10
04-03-2025,67,29,84,51,Satisfactory,PM 10
05-03-2025,71,34,92,53,Satisfactory,PM 10
06-03-2025,73,35,128,55,Moderate,PM 10
07-03-2025,75,37,111,57,Moderate,PM 10
08-03-2025,77,39,148,59,Moderate,PM 10
09-03-2025,74,36,144,58,Moderate,PM 10
10-03-2025,72,34,168,56,Unhealthy,PM 10
11-03-2025,70,33,192,54,Unhealthy,PM 10
12-03-2025,69,32,176,53,Unhealthy,PM 10
13-03-2025,71,34,94,55,Satisfactory,PM 10
14-03-2025,73,35,102,57,Moderate,PM 10
15-03-2025,76,38,59,60,Satisfactory,PM 10
16-03-2025,78,40,72,62,Satisfactory,PM 10
17-03-2025,77,39,78,61,Satisfactory,PM 10
18-03-2025,75,37,84,59,Satisfactory,PM 10
19-03-2025,73,35,80,57,Satisfactory,PM 10
20-03-2025,71,33,80,55,Satisfactory,PM 10
21-03-2025,70,32,72,54,Satisfactory,PM 10
22-03-2025,72,34,69,56,Satisfactory,PM 10
23-03-2025,74,36,80,58,Satisfactory,PM 10
24-03-2025,76,38,92,60,Satisfactory,PM 10
25-03-2025,77,39,100,61,Satisfactory,PM 10
26-03-2025,75,37,72,59,Satisfactory,PM 10
27-03-2025,73,35,53,57,Satisfactory,PM 10
28-03-2025,72,34,66,56,Satisfactory,PM 10
29-03-2025,70,33,152,54,Unhealthy,PM 10
30-03-2025,69,31,147,53,Moderate,PM 10
31-03-2025,68,30,148,52,Moderate,PM 10
01/04/2025,75,34,163,51,Unhealthy,PM 10
02/04/2025,73,33,174,50,Unhealthy,PM 10
03/04/2025,72,32,187,49,Unhealthy,PM 10
