Day,PM 10,PM 2.5,AQI Value,Ozone,AQI Category,Primary Pollutant
01-03-2025,52,22,164,48,Unhealthy,PM 10
02-03-2025,54,23,94,50,Satisfactory,PM 10
03-03-2025,56,25,93,52,Satisfactory,PM 10
04-03-2025,53,21,93,51,Satisfactory,PM 10
05-03-2025,57,26,88,53,Satisfactory,PM 10
06-03-2025,59,27,98,55,Satisfactory,PM 10
07-03-2025,61,29,164,57,Unhealthy,PM 10
08-03-2025,63,31,111,59,Moderate,PM 10
09-03-2025,60,28,85,58,Satisfactory,PM 10
10-03-2025,58,26,92,56,Satisfactory,PM 10
11-03-2025,56,25,65,54,Satisfactory,PM 10
12-03-2025,55,24,92,53,Satisfactory,PM 10
13-03-2025,57,26,104,55,Moderate,PM 10
14-03-2025,59,27,92,57,Satisfactory,PM 10
15-03-2025,62,30,82,60,Satisfactory,PM 10
16-03-2025,64,32,93,62,Satisfactory,PM 10
17-03-2025,63,31,93,61,Satisfactory,PM 10
18-03-2025,61,29,76,59,Satisfactory,PM 10
19-03-2025,59,27,73,57,Satisfactory,PM 10
20-03-2025,57,25,64,55,Satisfactory,PM 10
21-03-2025,56,24,67,54,Satisfactory,PM 10
22-03-2025,58,26,78,56,Satisfactory,PM 10
23-03-2025,60,28,43,58,Good,PM 10
24-03-2025,62,30,46,60,Good,PM 10
25-03-2025,63,41,92,61,Satisfactory,PM 10
26-03-2025,61,29,70,59,Satisfactory,PM 10
27-03-2025,59,27,99,57,Satisfactory,PM 10
28-03-2025,58,26,98,56,Satisfactory,PM 10
29-03-2025,56,25,115,54,Moderate,PM 10
30-03-2025,55,23,109,53,Moderate,PM 10
31-03-2025,54,22,109,52,Moderate,PM 10
01/04/2025,75,34,163,51,Unhealthy,PM 10
02/04/2025,73,33,174,50,Unhealthy,PM 10
03/04/2025,72,32,187,49,Unhealthy,PM 10
